year proc cat systematic AllOverOddSF
2016 wzh SL_1 MvaShiftUp01sigma 1.9260566248291109
2016 wzh SL_1 SigmaEOverEShiftUp01sigma 3.661097593404194
2016 wzh SL_1 MaterialCentralBarrelUp01sigma 3.8438857513656575
2016 wzh SL_1 MaterialOuterBarrelUp01sigma 2.101212098588896
2016 wzh SL_1 MaterialForwardUp01sigma 3.263832245509411
2016 wzh SL_1 FNUFEBUp01sigma 1.8569102320457374
2016 wzh SL_1 FNUFEEUp01sigma 3.263832245509411
2016 wzh SL_1 MCScaleGain6EBUp01sigma 3.661097593404194
2016 wzh SL_1 MCScaleGain1EBUp01sigma 3.661097593404194
2016 wzh SL_1 JECUp01sigma 4.005460773647477
2016 wzh SL_1 JERUp01sigma 3.6996209436834575
2016 wzh SL_1 PUJIDShiftUp01sigma 3.661097593404194
2016 wzh SL_1 JECAbsoluteUp01sigma 3.8684814816543085
2016 wzh SL_1 JECAbsolute2016Up01sigma 3.6326702533060495
2016 wzh SL_1 JECBBEC1Up01sigma 3.6740668561845995
2016 wzh SL_1 JECBBEC12016Up01sigma 3.7286208512172787
2016 wzh SL_1 JECEC2Up01sigma 3.661097593404194
2016 wzh SL_1 JECEC22016Up01sigma 3.6602128095061253
2016 wzh SL_1 JECFlavorQCDUp01sigma 4.43556341129685
2016 wzh SL_1 JECHFUp01sigma 3.661097593404194
2016 wzh SL_1 JECHF2016Up01sigma 3.661097593404194
2016 wzh SL_1 JECRelativeBalUp01sigma 3.7300531781011186
2016 wzh SL_1 JECRelativeSample2016Up01sigma 3.496766168440586
2016 wzh SL_1 metJecUncertaintyUp01sigma 3.661097593404194
2016 wzh SL_1 metJerUncertaintyUp01sigma 3.661097593404194
2016 wzh SL_1 metPhoUncertaintyUp01sigma 3.661097593404194
2016 wzh SL_1 metUncUncertaintyUp01sigma 1.7335209281770045
2016 wzh SL_1 ShowerShapeHighR9EBUp01sigma 1.9343475307121347
2016 wzh SL_1 MCScaleHighR9EBUp01sigma 2.2580368299148197
2016 wzh SL_1 MCSmearHighR9EBRhoUp01sigma 2.001368762721599
2016 wzh SL_1 MCSmearHighR9EBPhiUp01sigma 1.9699424448191925
2016 wzh SL_1 ShowerShapeHighR9EEUp01sigma 1.8164543950820111
2016 wzh SL_1 MCScaleHighR9EEUp01sigma 3.263832245509411
2016 wzh SL_1 MCSmearHighR9EERhoUp01sigma 3.661097593404194
2016 wzh SL_1 MCSmearHighR9EEPhiUp01sigma 2.6595109529634686
2016 wzh SL_1 ShowerShapeLowR9EBUp01sigma 2.052220360775721
2016 wzh SL_1 MCScaleLowR9EBUp01sigma 1.8690403825339135
2016 wzh SL_1 MCSmearLowR9EBRhoUp01sigma 2.052220360775721
2016 wzh SL_1 MCSmearLowR9EBPhiUp01sigma 2.5106290602651837
2016 wzh SL_1 ShowerShapeLowR9EEUp01sigma 3.661097593404194
2016 wzh SL_1 MCScaleLowR9EEUp01sigma 3.661097593404194
2016 wzh SL_1 MCSmearLowR9EERhoUp01sigma 3.661097593404194
2016 wzh SL_1 MCSmearLowR9EEPhiUp01sigma 1.245766079993843
2016 wzh SL_1 MvaShiftDown01sigma 2.6440700842881455
2016 wzh SL_1 SigmaEOverEShiftDown01sigma 3.661097593404194
2016 wzh SL_1 MaterialCentralBarrelDown01sigma 1.7312643704128923
2016 wzh SL_1 MaterialOuterBarrelDown01sigma 4.1644955874302045
2016 wzh SL_1 MaterialForwardDown01sigma 5.613110861345222
2016 wzh SL_1 FNUFEBDown01sigma 1.6262553204132164
2016 wzh SL_1 FNUFEEDown01sigma 4.474606519578156
2016 wzh SL_1 MCScaleGain6EBDown01sigma 3.661097593404194
2016 wzh SL_1 MCScaleGain1EBDown01sigma 3.575161967271357
2016 wzh SL_1 JECDown01sigma 3.021927744520027
2016 wzh SL_1 JERDown01sigma 3.5159376716272823
2016 wzh SL_1 PUJIDShiftDown01sigma 3.672745015156611
2016 wzh SL_1 JECAbsoluteDown01sigma 2.1306765989106697
2016 wzh SL_1 JECAbsolute2016Down01sigma 3.664335475808396
2016 wzh SL_1 JECBBEC1Down01sigma 3.661097593404194
2016 wzh SL_1 JECBBEC12016Down01sigma 3.6641963305213667
2016 wzh SL_1 JECEC2Down01sigma 3.664335475808396
2016 wzh SL_1 JECEC22016Down01sigma 3.661493123836105
2016 wzh SL_1 JECFlavorQCDDown01sigma 2.1306765989106697
2016 wzh SL_1 JECHFDown01sigma 3.661097593404194
2016 wzh SL_1 JECHF2016Down01sigma 3.661097593404194
2016 wzh SL_1 JECRelativeBalDown01sigma 3.8592137615927893
2016 wzh SL_1 JECRelativeSample2016Down01sigma 3.6685812937658735
2016 wzh SL_1 metJecUncertaintyDown01sigma 3.661097593404194
2016 wzh SL_1 metJerUncertaintyDown01sigma 1.7335209281770045
2016 wzh SL_1 metPhoUncertaintyDown01sigma 3.661097593404194
2016 wzh SL_1 metUncUncertaintyDown01sigma 3.661097593404194
2016 wzh SL_1 ShowerShapeHighR9EBDown01sigma 2.6434047030222065
2016 wzh SL_1 MCScaleHighR9EBDown01sigma 2.470955808530503
2016 wzh SL_1 MCSmearHighR9EBRhoDown01sigma 3.661097593404194
2016 wzh SL_1 MCSmearHighR9EBPhiDown01sigma 1.9699424448191925
2016 wzh SL_1 ShowerShapeHighR9EEDown01sigma 2.0053090751475477
2016 wzh SL_1 MCScaleHighR9EEDown01sigma 4.474606519578156
2016 wzh SL_1 MCSmearHighR9EERhoDown01sigma 3.661097593404194
2016 wzh SL_1 MCSmearHighR9EEPhiDown01sigma 2.6595109529634686
2016 wzh SL_1 ShowerShapeLowR9EBDown01sigma 3.661097593404194
2016 wzh SL_1 MCScaleLowR9EBDown01sigma 2.7569037423242806
2016 wzh SL_1 MCSmearLowR9EBRhoDown01sigma 3.661097593404194
2016 wzh SL_1 MCSmearLowR9EBPhiDown01sigma 2.5106290602651837
2016 wzh SL_1 ShowerShapeLowR9EEDown01sigma 4.670090476645236
2016 wzh SL_1 MCScaleLowR9EEDown01sigma 3.661097593404194
2016 wzh SL_1 MCSmearLowR9EERhoDown01sigma 3.661097593404194
2016 wzh SL_1 MCSmearLowR9EEPhiDown01sigma 1.245766079993843
2016 wzh SL_2 NOMINAL 2.035430825643314
2016 wzh SL_2 MvaShiftUp01sigma 2.363376160524917
2016 wzh SL_2 SigmaEOverEShiftUp01sigma 1.8643720068708394
2016 wzh SL_2 MaterialCentralBarrelUp01sigma 1.8424189126905133
2016 wzh SL_2 MaterialOuterBarrelUp01sigma 2.3022292975127385
2016 wzh SL_2 MaterialForwardUp01sigma 1.5121723437979921
2016 wzh SL_2 FNUFEBUp01sigma 1.7033343636498546
2016 wzh SL_2 FNUFEEUp01sigma 1.5121723437979921
2016 wzh SL_2 MCScaleGain6EBUp01sigma 1.8643720068708394
2016 wzh SL_2 MCScaleGain1EBUp01sigma 1.8643720068708394
2016 wzh SL_2 JECUp01sigma 1.970333854051117
2016 wzh SL_2 JERUp01sigma 1.9251173551838705
2016 wzh SL_2 PUJIDShiftUp01sigma 1.8643720068708394
2016 wzh SL_2 JECAbsoluteUp01sigma 1.9176761426298758
2016 wzh SL_2 JECAbsolute2016Up01sigma 1.8979798520264333
2016 wzh SL_2 JECBBEC1Up01sigma 1.8821063713577824
2016 wzh SL_2 JECBBEC12016Up01sigma 1.8666030610986453
2016 wzh SL_2 JECEC2Up01sigma 1.8642319245157315
2016 wzh SL_2 JECEC22016Up01sigma 1.8642081545988705
2016 wzh SL_2 JECFlavorQCDUp01sigma 1.9199637724083052
2016 wzh SL_2 JECHFUp01sigma 1.8643720068708394
2016 wzh SL_2 JECHF2016Up01sigma 1.8643720068708394
2016 wzh SL_2 JECRelativeBalUp01sigma 1.8797037689472584
2016 wzh SL_2 JECRelativeSample2016Up01sigma 1.885879889696234
2016 wzh SL_2 metJecUncertaintyUp01sigma 1.8643720068708394
2016 wzh SL_2 metJerUncertaintyUp01sigma 1.8643720068708394
2016 wzh SL_2 metPhoUncertaintyUp01sigma 1.8643720068708394
2016 wzh SL_2 metUncUncertaintyUp01sigma 2.054980379668145
2016 wzh SL_2 ShowerShapeHighR9EBUp01sigma 1.8595664353630308
2016 wzh SL_2 MCScaleHighR9EBUp01sigma 1.833499846720496
2016 wzh SL_2 MCSmearHighR9EBRhoUp01sigma 2.139819064585877
2016 wzh SL_2 MCSmearHighR9EBPhiUp01sigma 2.9300769985339494
2016 wzh SL_2 ShowerShapeHighR9EEUp01sigma 2.43768223520601
2016 wzh SL_2 MCScaleHighR9EEUp01sigma 1.5121723437979921
2016 wzh SL_2 MCSmearHighR9EERhoUp01sigma 1.8643720068708394
2016 wzh SL_2 MCSmearHighR9EEPhiUp01sigma 2.123796887221519
2016 wzh SL_2 ShowerShapeLowR9EBUp01sigma 2.0895491217705775
2016 wzh SL_2 MCScaleLowR9EBUp01sigma 2.4645314953774857
2016 wzh SL_2 MCSmearLowR9EBRhoUp01sigma 2.0895491217705775
2016 wzh SL_2 MCSmearLowR9EBPhiUp01sigma 2.2553109262011692
2016 wzh SL_2 ShowerShapeLowR9EEUp01sigma 1.8643720068708394
2016 wzh SL_2 MCScaleLowR9EEUp01sigma 1.8643720068708394
2016 wzh SL_2 MCSmearLowR9EERhoUp01sigma 1.8643720068708394
2016 wzh SL_2 MCSmearLowR9EEPhiUp01sigma 2.007455197279308
2016 wzh SL_2 MvaShiftDown01sigma 1.5869443769500244
2016 wzh SL_2 SigmaEOverEShiftDown01sigma 1.8643720068708394
2016 wzh SL_2 MaterialCentralBarrelDown01sigma 2.3995666826075412
2016 wzh SL_2 MaterialOuterBarrelDown01sigma 1.788093365800138
2016 wzh SL_2 MaterialForwardDown01sigma 1.5485801297762856
2016 wzh SL_2 FNUFEBDown01sigma 1.8483990567143105
2016 wzh SL_2 FNUFEEDown01sigma 1.8446939667737636
2016 wzh SL_2 MCScaleGain6EBDown01sigma 1.8643720068708394
2016 wzh SL_2 MCScaleGain1EBDown01sigma 1.893467136375673
2016 wzh SL_2 JECDown01sigma 2.0894421732354256
2016 wzh SL_2 JERDown01sigma 1.8329074609871239
2016 wzh SL_2 PUJIDShiftDown01sigma 1.8645767716317232
2016 wzh SL_2 JECAbsoluteDown01sigma 2.4251224499929083
2016 wzh SL_2 JECAbsolute2016Down01sigma 1.8655380610785515
2016 wzh SL_2 JECBBEC1Down01sigma 1.8831802132953461
2016 wzh SL_2 JECBBEC12016Down01sigma 1.8643720068708394
2016 wzh SL_2 JECEC2Down01sigma 1.8643641936517241
2016 wzh SL_2 JECEC22016Down01sigma 1.8644107001145847
2016 wzh SL_2 JECFlavorQCDDown01sigma 2.3864216421667988
2016 wzh SL_2 JECHFDown01sigma 1.8643720068708394
2016 wzh SL_2 JECHF2016Down01sigma 1.8643720068708394
2016 wzh SL_2 JECRelativeBalDown01sigma 1.8334423269650244
2016 wzh SL_2 JECRelativeSample2016Down01sigma 1.8665745434341439
2016 wzh SL_2 metJecUncertaintyDown01sigma 1.8643720068708394
2016 wzh SL_2 metJerUncertaintyDown01sigma 2.054980379668145
2016 wzh SL_2 metPhoUncertaintyDown01sigma 1.8643720068708394
2016 wzh SL_2 metUncUncertaintyDown01sigma 1.8643720068708394
2016 wzh SL_2 ShowerShapeHighR9EBDown01sigma 1.6951667719992294
2016 wzh SL_2 MCScaleHighR9EBDown01sigma 1.8489996569355156
2016 wzh SL_2 MCSmearHighR9EBRhoDown01sigma 1.8643720068708394
2016 wzh SL_2 MCSmearHighR9EBPhiDown01sigma 2.9300769985339494
2016 wzh SL_2 ShowerShapeHighR9EEDown01sigma 2.3605996473653024
2016 wzh SL_2 MCScaleHighR9EEDown01sigma 1.8446939667737636
2016 wzh SL_2 MCSmearHighR9EERhoDown01sigma 1.8643720068708394
2016 wzh SL_2 MCSmearHighR9EEPhiDown01sigma 2.123796887221519
2016 wzh SL_2 ShowerShapeLowR9EBDown01sigma 1.8643720068708394
